Distribution,Distribution,Alpha,Beta,Gamma,Alpha 1,Beta 1,Alpha 2,Beta 2,Proportion 1,DS,Mu,Sigma,Lambda,Log-likelihood,AICc,BIC,AD,optimizer,stress
0,Lognormal_2P,,,,,,,,,,6.06552072885924,0.4667755983487839,,-48.12969086517997,101.97366744464564,100.86455191634802,22.478151175953684,TNC,100
0,Weibull_2P,504.33368801994686,2.9071998994146497,,,,,,,,,,,-48.21473963115839,102.14376497660248,101.03464944830486,22.456775511021966,TNC,100
0,Normal_2P,,,,,,,,,,446.1807433386244,163.87571450035875,,-48.38224618685671,102.47877808799913,101.36966255970151,22.459695887446365,TNC,100
0,Exponential_1P,,,,,,,,,,,,0.0016843118383330399,-51.70478742214663,105.90957484429326,105.71215993728731,23.011892747367654,TNC,100
0,Weibull_2P,187.20182459419385,2.385638875854448,,,,,,,,,,,-36.82096894058107,79.35622359544784,78.24710806715022,31.330139624615352,TNC,150
0,Normal_2P,,,,,,,,,,161.21031561485574,66.80936551739659,,-36.94459828746062,79.60348228920695,78.49436676090933,31.306736708195842,TNC,150
0,Lognormal_2P,,,,,,,,,,5.075359928153159,0.6588362975649555,,-37.108111532905276,79.93050878009626,78.82139325179864,31.386006703050874,TNC,150
0,Exponential_1P,,,,,,,,,,,,0.00421348362509552,-38.81679373646324,80.13358747292648,79.93617256592053,31.61866149866355,L-BFGS-B,150
0,Lognormal_2P,,,,,,,,,,4.250584444980797,0.4826865122257262,,-26.243782760864118,58.20185123601395,57.09273570771633,38.708274289242304,TNC,200
0,Weibull_2P,78.71372675508208,3.073814400792934,,,,,,,,,,,-26.388991801929755,58.492269318145226,57.383153789847604,38.700557373533094,TNC,200
0,Normal_2P,,,,,,,,,,69.43074213438054,24.147472951594782,,-26.52835217621295,58.77099006671162,57.661874538414,38.70078631780001,TNC,200
0,Exponential_1P,,,,,,,,,,,,0.0083472454090156,-28.92911842840675,60.3582368568135,60.16082194980754,38.9185016647194,TNC,200
